,               ,x center,-1.9,-1.7,-1.5,-1.3,-1.1,-0.9,-0.7,-0.5,-0.3,-0.1,0.1,0.3,0.5,0.7,0.9,1.1,1.3,1.5,1.7,1.9
,               ,x low   ,-2,-1.8,-1.6,-1.4,-1.2,-1,-0.8,-0.6,-0.4,-0.2,0,0.2,0.4,0.6,0.8,1,1.2,1.4,1.6,1.8
,               ,x high  ,-1.8,-1.6,-1.4,-1.2,-1,-0.8,-0.6,-0.4,-0.2,5.55E-17,0.2,0.4,0.6,0.8,1,1.2,1.4,1.6,1.8,2
p AMD(S),132+124,value,,,,,,,,12.178,14.6062,15.8789,16.3399,15.1899,12.9719,10.2108,7.03534,4.18378,1.97584,0.8244,0.313863,0.097202
, ,error,,,,,,,,0.0743735,0.0814515,0.0849261,0.0861501,0.083063,0.0767597,0.068102,0.0565293,0.0435928,0.0299575,0.0193508,0.0119399,0.00664459
,108+112,value,,,,,,,12.5136,15.6013,18.0361,19.2324,19.1354,17.5711,15.1341,11.8883,8.13667,4.88807,2.29699,0.921697,0.336687,0.100598
, ,error,,,,,,,0.0753025,0.0840813,0.0904044,0.0933544,0.0931188,0.0892316,0.0828128,0.0733969,0.0607214,0.0470638,0.0322625,0.0204368,0.0123518,0.00675171
p AMD(F),132+125,value,,,,,,,,13.9014,14.907,15.1587,15.1587,15.3077,14.4336,12.4853,9.12587,5.24406,2.33077,0.862238,0.273427,0.0986014
, ,error,,,,,,,,0.0985964,0.1021,0.102959,0.102959,0.103463,0.100466,0.0934398,0.0798857,0.0605572,0.0403721,0.0245553,0.0138278,0.00830374
,108+113,value,,,,,,,15.0923,16.8982,17.4835,17.259,17.2811,17.164,16.5498,14.9105,11.1663,6.39975,2.73823,1.01763,0.32911,0.110851
, ,error,,,,,,,0.101938,0.107864,0.109716,0.10901,0.109079,0.108709,0.106747,0.101322,0.0876824,0.0663802,0.0434202,0.0264698,0.0150532,0.00873628
d AMD(S),132+126,value,0.00181686,0.012718,0.0790334,0.432413,1.49301,3.45249,6.05242,8.77362,10.878,12.1875,12.4782,11.4707,9.58984,7.01081,4.21693,1.82004,0.571857,0.1131,0.0172602,0.00181686
, ,error,0.00090843,0.00240348,0.00599151,0.0140146,0.0260412,0.0396002,0.0524319,0.0631277,0.0702919,0.0744026,0.0752847,0.0721816,0.0659989,0.0564306,0.0437652,0.0287522,0.0161166,0.00716739,0.00279997,0.00090843
,108+114,value,0.00135943,0.0140475,0.102411,0.538789,1.69748,3.85218,6.49085,8.73437,10.5184,11.3744,11.1233,10.1636,8.36143,5.88409,3.43529,1.53888,0.410549,0.0901758,0.00951604,0.00226572
, ,error,0.00078487,0.002523,0.00681226,0.0156253,0.0277345,0.0417803,0.0542337,0.0629121,0.0690388,0.0717931,0.0709964,0.0678644,0.0615543,0.0516366,0.0394548,0.0264071,0.0136396,0.00639239,0.00207657,0.00101326
d AMD(F),132+127,value,0.000699301,0.0118881,0.127273,0.720979,2.7,6.13357,9.34406,10.8909,11.4035,11.5133,11.5923,11.8825,11.7308,9.92028,7.02028,3.15175,0.860839,0.135664,0.0174825,0.0013986
, ,error,0.000699301,0.00288329,0.00943408,0.022454,0.0434524,0.065492,0.080835,0.0872698,0.0892999,0.0897288,0.0900362,0.0911562,0.0905723,0.0832902,0.0700663,0.046947,0.0245354,0.00974013,0.0034965,0.000988961
,108+115,value,0,0.0179014,0.130129,0.750482,2.96888,6.60562,9.27637,10.3222,10.3635,10.0399,10.0406,10.274,9.95043,8.93624,6.05412,2.77265,0.683007,0.10672,0.0130818,0.00275406
, ,error,0,0.00351075,0.00946552,0.0227314,0.0452119,0.0674394,0.0799182,0.0843031,0.0844716,0.0831424,0.0831452,0.0841061,0.0827709,0.0784394,0.0645628,0.0436923,0.0216855,0.00857195,0.00300117,0.00137703
t AMD(S),132+128,value,0,0.00136265,0.0113554,0.143078,0.770349,2.14026,4.39953,6.99764,8.98301,10.2248,10.3734,9.60392,7.83067,5.30432,2.80478,0.993823,0.203488,0.0158975,0.00090843,0
, ,error,0,0.000786724,0.00227108,0.00806152,0.0187057,0.0311791,0.0447027,0.0563776,0.0638766,0.0681489,0.0686421,0.0660473,0.059639,0.0490847,0.0356928,0.0212464,0.00961392,0.00268717,0.000642357,0
,108+116,value,0,0.000453145,0.0154069,0.156335,0.696484,2.04957,3.74705,5.56734,6.87647,7.53127,7.34638,6.55791,5.22521,3.4575,1.76726,0.565525,0.114646,0.0131412,0.00090629,0
, ,error,0,0.000453145,0.00264227,0.00841679,0.0177654,0.0304755,0.0412063,0.0502276,0.0558215,0.0584188,0.0576973,0.0545132,0.0486598,0.0395821,0.0282989,0.0160083,0.00720771,0.00244026,0.000640844,0
t AMD(F),132+129,value,0,0,0.00979021,0.156643,0.977622,2.95734,4.75594,5.58951,5.68741,5.71049,5.67063,5.87832,6.07762,5.54336,3.55105,1.21888,0.190909,0.0104895,0.0013986,0
, ,error,0,0,0.00261654,0.0104662,0.0261467,0.0454761,0.0576701,0.06252,0.0630651,0.063193,0.062972,0.0641149,0.0651927,0.0622613,0.0498322,0.0291953,0.0115543,0.00270838,0.000988961,0
,108+117,value,0,0,0.00826219,0.150785,0.877857,2.62393,4.06018,4.44919,4.2447,4.08703,3.91765,4.04227,4.26948,3.72487,2.33476,0.786973,0.119802,0.00619664,0,0
, ,error,0,0,0.00238509,0.0101891,0.0245849,0.0425043,0.0528724,0.0553474,0.0540605,0.053047,0.0519362,0.0527557,0.0542181,0.0506422,0.0400938,0.0232775,0.00908214,0.00206555,0,0
he3 AMD(S),132+130,value,0,0,0.0059048,0.0599564,0.322493,0.93432,1.91679,2.76753,3.68278,4.15607,4.20921,3.93895,3.1677,2.17206,1.19822,0.442406,0.0994731,0.00863009,0,0
, ,error,0,0,0.0016377,0.00521853,0.0121029,0.0206005,0.0295065,0.035455,0.0408995,0.0434482,0.0437251,0.0422981,0.0379317,0.0314099,0.0233292,0.0141756,0.00672177,0.00197988,0,0
,108+118,value,0.000453145,0.000453145,0.0190321,0.125974,0.564165,1.44508,2.65407,3.68452,4.45849,4.95695,4.74533,4.34203,3.56987,2.38218,1.27288,0.480334,0.0996919,0.0090629,0,0
, ,error,0.000453145,0.000453145,0.00293671,0.00755543,0.015989,0.0255896,0.0346796,0.040861,0.0449482,0.0473943,0.0463716,0.0443573,0.0402203,0.0328553,0.0240167,0.0147533,0.00672122,0.00202653,0,0
he3 AMD(F),132+131,value,0,0,0.00699301,0.0734266,0.461538,1.25035,2.05664,2.39021,2.46573,2.50769,2.51818,2.56154,2.51469,2.2979,1.36224,0.537762,0.0937063,0.00839161,0.000699301,0
, ,error,0,0,0.00221138,0.0071657,0.0179654,0.0295698,0.0379238,0.0408837,0.0415246,0.0418764,0.0419639,0.0423236,0.0419347,0.0400865,0.0308644,0.0193922,0.00809499,0.00242245,0.000699301,0
,108+119,value,0,0,0.00826219,0.121867,0.658909,1.78394,2.67488,2.89177,2.75337,2.68659,2.62738,2.76301,2.83186,2.55508,1.65863,0.626549,0.114294,0.0110162,0,0
, ,error,0,0,0.00238509,0.0091601,0.0212995,0.0350467,0.042915,0.0446209,0.0435401,0.0430088,0.0425322,0.0436163,0.0441563,0.041943,0.0337934,0.0207699,0.0088709,0.00275406,0,0
he4 AMD(S),132+132,value,0,0,0.00136265,0.0227108,0.240734,1.0397,2.85247,5.23029,7.3224,8.7282,8.95848,8.19222,6.21684,3.63236,1.50618,0.362464,0.0426962,0.00317951,0,0
, ,error,0,0,0.000786724,0.00321179,0.0104568,0.0217312,0.0359949,0.0487409,0.057671,0.0629641,0.0637893,0.0610003,0.0531393,0.0406186,0.0261559,0.0128311,0.00440378,0.00120174,0,0
,108+120,value,0,0,0.00090629,0.0339859,0.335327,1.36397,3.31566,5.43321,7.20138,7.85798,7.68624,6.78811,4.95469,2.85934,1.14736,0.282309,0.0321733,0,0,0
, ,error,0,0,0.000640844,0.00392435,0.0123269,0.0248611,0.0387618,0.0496188,0.057125,0.0596725,0.0590168,0.0554617,0.0473834,0.0359958,0.0228018,0.0113105,0.00381827,0,0,0
he4 AMD(F),132+133,value,0,0,0.0013986,0.0482517,0.625175,2.5972,4.79161,5.47413,5.15035,4.86993,5.02448,5.47972,6.07762,5.73706,3.42448,0.85035,0.0818182,0.000699301,0,0
, ,error,0,0,0.000988961,0.00580883,0.020909,0.0426172,0.0578859,0.0618713,0.0600137,0.0583571,0.0592758,0.0619029,0.0651927,0.0633398,0.0489361,0.0243854,0.00756409,0.000699301,0,0
,108+121,value,0,0,0.00481961,0.0805563,0.831038,3.40677,5.45442,5.4978,4.7184,4.16896,4.06706,4.52424,5.14597,4.99243,2.95442,0.70986,0.0564583,0.00550812,0,0
, ,error,0,0,0.00182164,0.00744743,0.0239203,0.0484316,0.0612818,0.0615249,0.0569973,0.0535761,0.0529172,0.0558122,0.0595238,0.058629,0.0451017,0.0221077,0.00623477,0.00194742,0,0
