               ,x center,20,60,100,140,180,220,260,300,340,380,420,460,500,540,580,620,660,700,740,780
               ,x low   ,0,40,80,120,160,200,240,280,320,360,400,440,480,520,560,600,640,680,720,780
               ,x high  ,40,80,120,160,200,240,280,320,360,400,440,480,520,560,600,640,680,720,760,780
p,value,0.826144,0.853385,0.805206,0.824249,0.846874,0.857105,0.86231,0.898812,0.901244,0.917471,0.901117,0.886228,0.850434,0.855017,0.80896,0.751345,0.729784,0.638693,0.612698,0.540667
 ,error,0.0300695,0.0165502,0.0102799,0.0127365,0.0123167,0.00963391,0.0091548,0.00887915,0.0142847,0.0114416,0.0154633,0.0151185,0.0229723,0.0199833,0.0326073,0.0430096,0.0541348,0.0581945,0.0662025,0.0675761
d,value,1.0984,1.03384,1.07129,1.14298,1.17862,1.20458,1.17836,1.2484,1.16871,1.13848,1.10919,1.0318,0.908612,0.799103,0.675766,0.600596,0.445094,0.429169,0.320923,0.341121
 ,error,0.0481938,0.0171562,0.0133451,0.0151826,0.0122745,0.0154297,0.0191447,0.0148475,0.0179817,0.0308716,0.020498,0.0294531,0.0308692,0.0340192,0.0317766,0.0309153,0.0248923,0.025912,0.020805,0.0236328
t,value,1.50711,1.49228,1.53171,1.57875,1.56904,1.58989,1.51549,1.34942,1.19701,1.01113,0.863246,0.649496,0.562823,0.389667,0.286874,0.224365,0.145779,0.262576,0.0885629,0.139716
 ,error,0.0302843,0.0508892,0.0457848,0.0225356,0.0263725,0.0247621,0.0280835,0.0323394,0.0431999,0.0337722,0.0811495,0.0486334,0.0523768,0.0517329,0.0616676,0.0666738,0.0553041,0.121197,0.0481581,0.0874589
he3,value,0.916591,0.884812,0.870838,0.906977,0.958185,0.964253,0.938918,0.926498,0.936453,0.842214,0.768254,0.752397,0.628599,0.409504,0.371013,0.419106,0.314916,0.288808,0.338277,0.0977487
 ,error,0.0520596,0.0402485,0.0292102,0.0205781,0.0176452,0.016573,0.0229934,0.0282745,0.0313242,0.0291625,0.0439046,0.0643219,0.0496629,0.0468978,0.0645163,0.0977612,0.0921541,0.10166,0.139157,0.046014
he4,value,1.18364,1.18657,1.20808,1.21372,1.26375,1.2747,1.21092,1.15589,0.965008,0.860431,0.836895,0.563415,0.504831,0.166008,0.315742,0.72456,0,0,0,0
 ,error,0.0419671,0.024324,0.0185987,0.0153454,0.0180845,0.0193277,0.025227,0.0280116,0.0287006,0.0932087,0.065392,0.0760664,0.102838,0.086947,0.224566,0.65117,0,0,0,0
