temperature (MeV),x center,20,60,100,140,180,220,260,300,340,380,420,460,500
               ,x low   ,0,40,80,120,160,200,240,280,320,360,400,440,480
               ,x high  ,40,80,120,160,200,240,280,320,360,400,440,480,520
132+124,value,8.3406,8.24977,8.50872,8.85523,9.54736,10.0134,11.1882,11.9632,14.3709,15.2369,16.8946,25.5489,82.9113
 ,error,0.571759,0.440136,0.43433,0.450771,0.520502,0.51502,0.712787,0.853685,1.37427,1.83476,2.95192,8.62208,106.856
108+112,value,8.05564,7.91383,8.35855,8.68497,9.48831,10.0244,11.2127,13.5941,14.4597,17.9088,28.0305,37.0372,0
 ,error,0.528863,0.397751,0.424043,0.428827,0.473296,0.490289,0.630159,0.983307,1.4428,2.70826,7.07724,17.6288,0
112+124,value,9.19912,7.85263,8.34224,9.15454,9.79517,10.0053,11.6799,13.2542,14.6675,17.8927,22.6389,89.7541,76.1992
 ,error,1.06723,0.522209,0.523822,0.569459,0.567711,0.593603,0.852929,1.17883,2.00796,2.99609,5.93006,148.355,131.923
124+112,value,7.74029,7.53808,8.24279,8.51948,10.049,9.54311,10.7974,12.7334,14.8134,23.9293,18.6131,48.8025,33.3306
 ,error,0.927853,0.514227,0.580219,0.478551,0.649416,0.586869,0.773683,1.22064,1.90553,7.33332,6.71445,47.0395,31.3199
